Name,GT,DC,QM
Công Ty Cổ Phần Hóa Chất Đại Thịnh,Công Ty Cổ Phần Hóa Chất Đại Thịnh chuyên cung cấp keo nhu uy tin và chất lượng nhất,KCN Thụy Vân - Xã Thụy vân - Thành phố Việt Trì - Tỉnh Phú Thọ,10 - 150 người
Công Ty Cổ Phần Xuất Nhập Khẩu Ivinci Group,"VỀ IVINCI GROUP GIỚI THIỆU IVINCI GROUP, với 8 năm kinh nghiệm trong lĩnh vực xúc tiến thương mại, ủy thác xuất nhập khẩu, vận chuyển quốc tế Trung – Việt qua đường bộ, đường thủy và hàng không. Chúng tôi tự hào là 1 đơn vị logistics đầu ngành đã tạo nên câu chuyện thành công của hơn 2000 bạn hàng đang tin tưởng sử dụng dịch vụ. Với hệ thống kho bãi rộng lớn chuyên nghiệp tại tất cả các khu vực cửa khẩu Đông Hưng, Bằng Tường và trung tâm Quảng Châu, chúng tôi tạo nên những giải pháp trọn gói ưu việt. Quý đối tác hoàn toàn yên tâm về mặt pháp lý, hóa đơn chứng từ, an toàn trong khâu vận chuyển, chính sách bảo hành, đền bù rõ ràng được thể hiện trên hợp đồng. Toàn bộ dịch vụ sẽ được cung cấp với chi phí thấp nhất. Tạo ra sức mạnh cạnh tranh toàn diện cho đối tác. Đối tượng khách hàng phù hợp sử dụng dịch vụ IVINCI: Nhập hàng Trung Quốc và kinh doanh phân phối sỉ Nhập hàng Trung Quốc và kinh doanh trên sàn TMĐT nội địa Nhập hàng Trung Quốc và đưa hàng vào các dự án Nhập hàng Trung Quốc và có các tùy chỉnh về thương hiệu, sản phẩm, OEM… Các dịch vụ IVINCI khai thác để phục vụ khách hàng Các dịch vụ về vận chuyển (Logistics): Chính ngạch ghép Cont Quảng Châu – Hà Nội – Các Tỉnh phía Bắc Chính ngạch ghép Cont Quảng Châu – Cát Lái – Các Tỉnh phía Nam Chính ngạch đường bộ Bằng Tường – Hữu Nghị – Hà Nội Vận chuyển đường bộ Đông Hưng – Hà Nội Dịch vụ uỷ thác thanh toán Dịch vụ cấp tài khoản đặt hàng từ các nền tảng Alibaba SỨ MỆNH TẦM NHÌN SỨ MỆNH Thông qua các giải pháp Logistics và đặt hàng quốc tế của IVINCI, chúng tôi mong muốn kết nối doanh nghiệp Việt Nam với nguồn hàng tận gốc của thế giới TẦM NHÌN Trở thành 1 đơn vị Top ngành trong lĩnh vực Logistics chuyên tuyến Trung Quốc – Việt Nam GIÁ TRỊ CỐT LÕI Công Bằng – Chính Trực – Hiệu Quả – Tối Ưu III. CÁCH THỨC HOẠT ĐỘNG CỦA IVINCI IVINCI khai thác, thẩm định uy tín và chất lượng của các đơn vị cung cấp dịch vụ, đánh giá và chọn lọc thế mạnh của từng đơn vị, đàm phán mức giá tối ưu và mời họ tham gia vào hệ thống cung ứng. IVINCI xây dựng và phát triển các gói dịch vụ logistics theo nhu cầu của thị trường dưới hình thức trọn gói toàn trình hoặc từng chặng. Các cá nhân đơn vị kinh doanh sỉ lẻ (khách hàng) sử dụng dịch vụ IVINCI tự do lựa chọn để sử dụng riêng biệt hoặc trọn gói các dịch vụ logistics và đặt hàng quốc tế phù hợp với nhu cầu. Website: https://ivinciexpress.vn/gioi-thieu/","Toà nhà Phú Thái, Tầng 5 số 19/192 Thái Thịnh, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt Nam",10 - 150 người
Công ty TNHH Toyota Thanh Xuân,"Được thành lập bởi hai đối tác: Công ty Cổ phần Quản lý Đầu tư và Phát triển (IDMC) và Công ty Toyota Tsusho Cooperation (TTC) - Nhật Bản. Công ty TNHH Toyota Thanh Xuân là Đại lý chính thức của Công ty Ôtô Toyota Việt Nam trong lĩnh vực: *  Bán xe ôtô TOYOTA; *  Dịch vụ sửa chữa, bảo dưỡng, bảo hành xe TOYOTA; *  Dịch vụ cung cấp phụ tùng chính hãng TOYOTA. Công ty TNHH Toyota Thanh Xuân được UBND Thành phố Hà Nội cấp giấy phép Đầu tư ngày 11 tháng 5 năm 2011, sau mộ năm triển khai việc xây dựng và hoàn thiện cở sở hạ tầng ngày 10 / 12 / 2012 đã chính thức đi vào hoạt động. Là thành viên trẻ trong gia đình Toyota Việt Nam, tuy nhiên Toyota Thanh Xuân có thể khẳng định và tự hào đã xây dựng và hoàn thiện được đội ngũ nhân viên, kỹ thuật viên có kiến thức,có trình độ, đầy nhiệt huyết và lòng nhiệt tình. Với phương châm hoạt động “Con người chính là nguồn lực quan trọng và quý giá nhất” Toyota Thanh Xuân sẽ không ngừng đầu tư và phát triển “Nguồn lực Con người” với hy vọng đó sẽ là nguồn lực mạnh mẽ và tiên quyết để xây dựng Công ty ngày từng bước hoàn thiện và phát triển lớn mạnh. Cùng với định hướng của Ban lãnh đạo Công ty: ·   Xây dựng và phát triển Công ty theo định hướng bền vững. ·   Phát triển đội ngũ nhân viên chuyên nghiệp, năng động, sáng tạo, uy tín và luôn tự hoàn thiện. Các thành viên trong Công ty được làm việc, sáng tạo và cống hiến hết mình. ·   Cung cấp các sản phẩm và dịch vụ tốt nhất cho khách hàng trong khả năng đáp ứng của Công ty. Công ty TNHH Toyota Thanh Xuân KHẲNG ĐỊNH sẽ mang lại cho Quí khách hàng chất lượng dịch vụ tốt nhất với mục đích đạt sự hài lòng cao nhất của Khách hàng về các dịch vụ 3S đạt tiêu chuẩn TOYOTA. Tất cả tạo thành một hệ thống đồng bộ đảm bảo khách hàng có thể hoàn toàn đặt lòng tin và yên tâm khi sử dụng dịch vụ tại TOYOTA THANH XUÂN. Toyota Thanh Xuân CAM KẾT sẽ liên tục cải tiến chất lượng dịch vụ để trở thành một trong những ĐẠI LÝ HÀNG ĐẦU của TOYOTA  tại Việt Nam.","Số 315, đường Trường Chinh, phường Khương Mai, quận Thanh Xuân, Thành phố Hà Nội",150 - 300 người
Công Ty TNHH Dịch Vụ Y Tế Sccare,"Phòng khám SCCARE được thành lập 2015, trải qua 6 năm xây dựng và phát triển, bằng những nỗ lực không ngừng nghỉ, SCCARE đã tạo dựng được uy tín trở thành thương hiệu quen thuộc và là địa chỉ khám, chữa trị cơ xương khớp đáng tin cậy của hàng triệu bệnh nhân.","Số 3 ngõ 3, tổ 75 Hoàng Cầu, Phường ô Chợ Dừa, Quận Đống đa, Hà Nội",10 - 150 người
Công Ty TNHH Đầu Tư Xây Dựng Quân Đạt,"QDC design&build là đơn vị tổng thầu thiết kế và thi công hoàn thiện công trình. Công ty đang trên đà tăng trưởng lớn mạnh, nên chúng tôi rất chào đón các ứng viên chất lượng để bổ sung vào đội ngũ nhân sự trẻ trung, năng động, đầy nhiệt huyết của công ty. Để biết thêm về công ty, xem tại website http:// www.fnb.qdc.vn","Số 7 đường số 12, KDC Cityland, Phường 10, Quận Gò Vấp, TP HCM",150 - 300 người
Công Ty Cổ Phần XVN,"Xpel - Thương hiệu dẫn đầu toàn cầu trong ngành công nghiệp phim bảo vệ. Với công nghệ Nano Ceramic tiên tiến và công nghệ màng tự phục hồi độc quyền đầu tiên trên Thế giới, bộ 3 sản phẩm của Xpel bao gồm: Phim cách nhiệt, Phim bảo vệ sơn (PPF), Phủ Ceramic sở hữu khả năng BẢO VỆ mạnh mẽ cùng ĐỘ BỀN vượt trội, giúp bảo vệ sức khỏe người dùng và giữ xe luôn như mới. • Automotive Window Tint (Phim cách nhiệt ô tô) • Paint ProtectionProtection Film (Phim bảo vệ sơn PPF) • Ceramic Coating (Phủ Ceramic) • Home & Office Window Film (Phim cửa kính văn phòng & nhà ở)","Số 10, Lô A14/D21, Ngõ 11 Duy Tân, Dịch Vọng Hậu, Cầu Giấy",10 - 150 người
"Công Ty TNHH Đông Nam Việt Nam (Dong Nam Co., Ltd)","Chúng tôi là công ty 100% vốn Hàn Quốc chuyên sản xuất hàng may mặc quần áo xuất khẩu sang các nước Mỹ, Hàn Quốc, Nhật Bản,… 304 Trịnh Thị Miếng Tổ 111 ấp Đông, Âp Tam Đông, Hóc Môn, Thành phố Hồ Chí Minh","304 Trịnh Thị Miếng, Ấp Đông, thới Tam thôn, Hóc Môn, HCM",Trên 300 người
"Công Ty TNHH Đông Nam Việt Nam (Dong Nam Co., Ltd)","Chúng tôi là công ty 100% vốn Hàn Quốc chuyên sản xuất hàng may mặc quần áo xuất khẩu sang các nước Mỹ, Hàn Quốc, Nhật Bản,… 304 Trịnh Thị Miếng Tổ 111 ấp Đông, Âp Tam Đông, Hóc Môn, Thành phố Hồ Chí Minh","304 Trịnh Thị Miếng, Ấp Đông, thới Tam thôn, Hóc Môn, HCM",Trên 300 người
"Công Ty TNHH Đông Nam Việt Nam (Dong Nam Co., Ltd)","Chúng tôi là công ty 100% vốn Hàn Quốc chuyên sản xuất hàng may mặc quần áo xuất khẩu sang các nước Mỹ, Hàn Quốc, Nhật Bản,… 304 Trịnh Thị Miếng Tổ 111 ấp Đông, Âp Tam Đông, Hóc Môn, Thành phố Hồ Chí Minh","304 Trịnh Thị Miếng, Ấp Đông, thới Tam thôn, Hóc Môn, HCM",Trên 300 người
Công Ty TNHH Ntpm Việt Nam,"NTPM tên đầy đủ là NiBong Tebal Paper Mill , là tập đoàn sản xuất giấy và các sản phẩm từ giấy của Malaysia , tập đoàn đang sở hữu 6 nhà máy tại Malaysia với tổng công suất 220 tấn giấy thành phẩm mỗi ngày, trong đó có 30% là dành cho xuất khẩu. Công ty TNHH NTPM (Việt Nam) là công ty 100% vốn đầu tư nước ngoài có xuất xứ từ Malaysia. NTPM là nhà sản xuất lớn nhất và cũng là công ty dẫn đầu thị trường khăn giấy tại Malaysia. NTPM không chỉ sản xuất và bán các sản phẩm khăn giấy mà còn chuyên sản xuất và bán các sản phẩm chăm sóc cá nhân như tã giấy, khăn ướt, băng vệ sinh và các sản phẩm từ cotton nữa. Năm 2013, NTPM đã xây dựng nhà máy sản xuất tại Bình Dương và đến năm 2014, công ty bắt đầu bán các sản phẩm khăn giấy bán thành phẩm như khăn giấy cuộn jumbo và khăn giấy cuộn lớn. Trong năm 2016 và đến nay, tất cả các loại khăn giấy và các sản phẩm liên quan đến khăn giấy như giấy vệ sinh cuộn, khăn bếp, khăn lau tay, khăn giấy gói, khăn bỏ túi, khăn giấy rút, … đã được sản xuất và phân phối trên khắp Việt Nam và cho thị trường quốc nội Bước sang năm 2021, Công ty TNHH NTPM (Việt Nam) cũng đã bắt đầu kinh doanh các sản phẩm chăm sóc cá nhân như tã giấy và khăn lau dành cho trẻ em.","Số 22 Vsip II-A, Đường số 23, Khu công nghiệp Việt Nam-Singapore II-A, phường Vĩnh Tân, thị xã Tân Uyên, tỉnh Bình Dương, Việt Nam",Trên 300 người
CÔNG TY TNHH MTV THANH VƯƠNG PHÁT,"CÔNG TY TNHH MTV THANH VƯƠNG PHÁT ( Honda Bình Dương ) Địa chỉ: Số 359, Khu phố Phú Nghị, Phường Hoà Lợi, Thị xã Bến Cát, Tỉnh Bình Dương Lĩnh vực: Kinh doanh các dòng xe máy chính hãng Honda, Yamaha, Suzuki và xe nhập khẩu...","Số 359, Khu phố Phú Nghị, Phường Hoà Lợi, Thị xã Bến Cát, Tỉnh Bình Dương",150 - 300 người
Công Ty TNHH Welcome Inn,"The source of endless fun and always up-to-date with surprises only in Welcome Inn Lounge Top Bar District 1. For “party lovers” a memorable drunken night with hot angel dances, explosive music and special cocktails. Nếu bạn đang tìm kiếm một nơi để tiếp đón những đối tác nước ngoài, hay chỉ đơn giản là giới thiệu đến những người bạn từ phương xa đến Việt Nam thì Welcome Inn Lounge Bar sẽ là một gợi ý tuyệt vời.","50 Tôn Thất Thiệp, Phường Bến Nghé, Quận 1, TP Hồ Chí Minh",10 - 150 người
Công Ty CP Hóa Chất Xây Dựng Bách Khoa,"Công ty cổ phần hóa chất xây dựng Bách Khoa – Tiền thân là Công ty TNHH xây dựng và phát triển vật liệu mới Việt Khoa, được thành lập từ năm 2007, chuyên thi công trọn gói (cung cấp vật tư và nhân công thi công) hạng mục chống thấm, sơn sàn epoxy, chống thấm gốc Polyurethane, chống thấm màng cao phân tử cho nhà xưởng, nhà công nghiệp, TTTM, các khu công nghiệp, các dự án…..Trải qua những năm tháng xây dựng và phát triển được hợp tác với nhiều dự án trọng điểm như: Trụ sở Bộ công an, Trụ sở Bộ công thương, Trụ sở Tổng cục Hải Quan, Tập đoàn Vingroup và Taisei Nhật (nhà ga T2 Nội Bài)…đến nay Bách Khoa trở thành một trong những đơn vị có uy tín hàng đầu trong lĩnh vực chống thấm và sơn sàn epoxy. Với trang thiết bị máy móc hiện đại nhất, đội ngũ cán bộ chuyện nghiệp và đội thợ thi công nhiều kinh nghiệm Công ty Bách Khoa luôn đem lại sản phẩm đạt chất lượng cao và hoàn hảo","Phòng 2904, tháp A, chung cư thăng long Number one, 289 Khuất Duy Tiến, Trung Hòa, Cầu Giấy, HN",10 - 150 người
Công Ty TNHH Túi Xách Simone Việt Nam Tg,"Simone là công ty sản xuất và xuất khẩu túi xách nữ của các thương hiệu nổi tiếng trên thế giới. Với mong muốn đóng góp vào sự phát triển kinh tế chung của Việt Nam và đem sản phẩm Việt Nam hòa nhập thị trường thế giới. Simone Việt Nam đã tiến hành đầu tư công ty thứ hai ở Tiền Giang và đang có nhu cầu tuyển dụng lao động. Simone được thành lập đầu tiên vào năm 2009 ở Long An và đang hoạt động với quy mô 5000 người. Với thành công của công ty ở Long An, chúng tôi thành lập công ty thứ 2 ở KCN Tân Hương Tiền Giang và đang có nhu cầu tuyển dụng những công nhân chăm chỉ và nhanh nhẹn làm việc như gia đình. Ai có nhu cầu xin vui lòng liên hệ. Với phương châm thành công của Simone Tiền Giang luôn đi kèm với sự phát triển của Tiền Giang cũng như Việt Nam cộng với sự tự tin, quyết tâm chúng tôi cam kết sẽ nỗ lực không ngừng để tạo nên công ty đứng đầu thế giới.","Lô AI, AI-1, AVI, AVII, KII-1. KCN Tân Hương, Châu Thành, Tiền Giang",Trên 300 người
Công Ty TNHH Careline Solution,"Công Ty TNHH Careline Soulution là một công ty đa quốc gia có vốn đầu tư nước ngoài hoạt động trong lĩnh vực Call Center - Trung Tâm Tổng Đài, chú trọng nhiều về Telesales. Với sứ mệnh đem đến những dòng sản phẩm có nguồn gốc từ thiên nhiên, chăm sóc sắc đẹp và sức khỏe dinh dưỡng. Carline Solution đã không ngừng cải tiển bản thân để ngày một tốt hơn và mang lại giải pháp tối ưu về sức khỏe cho người tiêu dùng Việt Nam Hiện Careline Solution đang kinh doanh các mặt hàng thực phẩm chức năng về xương khớp, suy giãn tĩnh mạch, đường ruột,...","Tòa nhà Halo, Số 290 Hai Bà Trưng, Phường Tân Định, Quận 1, TP. Hồ Chí Minh",150 - 300 người
Công Ty TNHH Sản Xuất In Bao Bì Toàn Cầu,"Tại Toàn Cầu chúng tôi luôn thấu hiểu giá trị sản phẩm bạn tạo ra có ý nghĩa như thế nào đối với người tiêu dùng, vì thế chúng tôi cho ra đời những sản phẩm bao bì với hình dáng và thiết kế sáng tạo, tiết kiệm nguyên liệu, tư vấn Phân tích kỹ thuật: chất liệu giấy phù hợp sản phẩm , giá cả cạnh tranh, định lượng giấy phù hợp trọng lượng sản phẩm bên trong, và độ chịu lực mang đến cho bạn cảm giác yên tâm trong quá trình vận chuyển hàng hóa và tạo dựng dấu ấn sâu sắc với khách hàng về thương hiệu của mình đến tận tay người tiêu dùng. Chính vì vậy Cty Bao Bì Toàn Cầu hoạt động và phát triển bởi sự tín nhiệm của nhiều khách hàng châu âu , châu á, tại TP.HCM và các tỉnh lân cận","168/2B ấp Thới Tây 2, Xã Tân Hiệp, Huyện Hóc Môn, TP Hồ Chí Minh",10 - 150 người
Công Ty TNHH CGT Media Group,Phần Mềm CNTT/Dịch vụ Phần mềm,"Lô 6 - DV 8, KĐT Tây Nam Linh Đàm, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",10 - 150 người
Công Ty TNHH Lục Sâm,"CÔNG TY TNHH LỤC SÂM HOẠT ĐỘNG TRONG NGÀNH GỖ CÓ TẦM QUY MÔ LƠN, HÀNG XUẤT KHẨU ĐẾN CÁC NƯỚC CHÂU ÂU","Khu phố Bình Khánh, Phường Khánh Bình, Thành phố Tân Uyên, Tỉnh Bình Dương",Trên 300 người
Công Ty TNHH MTV Healthpost,"CÔNG TY TNHH MTV HEALTHPOST là một công ty hoạt động trong lĩnh vực Call Center - Trung tâm Tổng đài, chú trọng nhiều về Telesales. Với sứ mệnh đem đến những dòng sản phẩm có nguồn gốc từ thiên nhiên, chăm sóc sắc đẹp và sức khỏe dinh dưỡng, HEALTHPOST đã không ngừng cải tiến bản thân để ngày một tốt hơn và mang lại giải pháp tối ưu nhất về sức khỏe cho người tiêu dùng Việt Nam. Công ty hiện đang hoạt động tại 4 thị trường chính ở South East Asian: Việt Nam, Indonesia, Thái Lan, Malaysia và thị trường Châu Âu như Ukraine, Israel, v.v Nhờ chiến lược kinh doanh rõ ràng và hướng đi đúng; cùng với đội ngũ nhân viên năng động, sáng tạo, không ngại thử thách và được đào tạo chuẩn về nghiệp vụ Telesales; HEALTHPOST đang dần khẳng định được vị thế của mình trong lĩnh vực Call Center. Chúng tôi luôn chào đón những tài năng trẻ đầy nhiệt huyết, có đam mê và khát vọng thành công gia nhập đại gia đình HEALTHPOST – Nơi những người trẻ theo đuổi đam mê & phát triển sự nghiệp..","P901, tầng 9, Tòa nhà Sky City Tower A, số 88 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt Nam",150 - 300 người
Nguồn Hàng Quảng Châu - Trung Quốc,"Ordertietkiem là đơn vị cung cấp dịch vụ trung gian nhập hàng từ các website thương mại điện tử hàng đầu Trung Quốc. Dịch vụ của chúng tôi bao gồm: - Tư vấn tìm kiếm nguồn hàng trên các website bán buôn, bán lẻ hàng đầu Trung Quốc như alibaba.com, 1688.com, taobao.com, tmall.com... - Mua hàng và kiểm tra hàng hóa - Đóng gói và làm việc với các đơn vị vận chuyển hàng hóa về Việt Nam - Khiếu nại nhà cung cấp, hỗ trợ đổi trả hàng hóa Mục tiêu của Ordertietkiem là luôn dẫn đầu trong việc xây dựng tiêu chuẩn dịch vụ để phục vụ khách hàng ngày một tốt hơn. Trong suốt thời gian phát triển, đội ngũ Ordertietkiem luôn tự hào là đơn vị tiên phong thực hiện những cam kết mang tính thay đổi, dẫn dắt và đòi hỏi cao đối với thị trường: 1. chúng tôi thực hiện việc đặt hàng bằng công cụ và quản lý đơn hàng hoàn toàn trực tuyến, không thông qua file excel. Việc mua hàng thực hiện hàng ngày, không chờ thời gian chốt đơn. 2. chúng tôi đào tạo nhân lực kiểm hàng ngay tại Trung Quốc để giảm thiểu rủi ro và chi phí tài chính cho khách hàng nhập hàng. 3. chúng tôi thực hiện hệ thống kiểm soát mọi trạng thái đơn hàng và giao tiếp trực tuyến. Tới thời điểm này rất nhiều dịch vụ nhập hàng chưa thể đáp ứng được. 4. chúng tôi nâng cao tiêu chuẩn hỗ trợ khách hàng 24 / 7. 5. chúng tôi triển khai dịch vụ Chuyển phát nhanh với những cam kết nghiêm ngặt về thời gian vận chuyển. 6. chúng tôi cam kết không thu phí mua hàng nếu không thực hiện mua hàng trong vòng 24h. 7. Và còn rất nhiều những tiêu chuẩn dịch vụ mà Bạn chỉ cảm nhận được khi sử dụng dịch vụ của chúng tôi Chúng tôi hiểu rằng, để tiếp tục tồn tại trên thị trường, Ordertietkiem cần liên tục nâng cao chất lượng dịch vụ. Vì vậy, chúng tôi luôn kỳ vọng được hợp tác với những Khách hàng có những yêu cầu khắt khe nhất. Đó là tôn chỉ trong mọi hành động của Ordertietkiem trong suốt thời gian qua.","Số 37, ngõ 45, Trần Thái Tông, Cầu Giấy, Hà Nội",150 - 300 người
Công Ty Cổ Phần Quốc Tế Anh Văn Hội Việt Mỹ,"Tại VUS, chúng tôi không xem bạn là một người lao động mà là người bạn đồng hành. Đồng hành cùng VUS đồng nghĩa với cùng phát triển, cùng chia sẻ những sứ mạng, mục tiêu và cùng phấn đấu thành một tập thể xuất sắc. + Môi trường làm việc VUS tự hào có một môi trường làm việc chuyên nghiệp và công bằng để mỗi cá nhân đều có thể phát huy khả năng của bản thân trong một tập thể gắn kết, bên cạnh đó chúng tôi cũng tổ chức các hoạt động tinh thần để giúp kết nối mọi thành viên với nhau. + Chế độ đãi ngộ VUS không mang đến cho bạn một công việc, mà mang đến cho bạn những giá trị vật chất và tinh thần để giúp bạn trưởng thành và thành công trong sự nghiệp. Là một thành viên của VUS, bạn sẽ được trải nghiệm: Chế độ lương thưởng, phúc lợi công bằng và xứng đáng VUS xây dựng chính sách lương, thưởng và các chế độ phúc lợi tốt nhất cho mỗi thành viên làm việc và cống hiến. Các chương trình đào tạo giúp trao dồi kiến thức và kĩ năng Hoạt động trong lĩnh vực giáo dục, VUS hiểu rõ tầm quan trọng của việc phát triển nguồn nhân lực. Vì thế, là một thành viên của VUS, bạn sẽ có cơ hội được đào tạo nâng cao tiếng Anh và các kỹ năng nghề nghiệp, cũng như được tham gia các buổi huấn luyện thực tế nhằm bồi dưỡng năng lực và phát triển bản thân. Cơ hội rèn luyện và thử sức cùng với sự lớn mạnh của VUS VUS sẽ mở ra cho bạn nhiều cơ hội thử sức với những vai trò, thách thức mới, giúp khơi dậy năng lực tiềm ẩn và khả năng sáng tạo của bạn trong quá trình phát triển và mở rộng. Chúng tôi luôn chào đón nồng nhiệt những người muốn gia nhập VUS bằng tài năng, trí tuệ, phẩm chất đạo đức và lòng say mê công việc. Cho dù bạn là một sinh viên mới tốt nghiệp hay là một chuyên viên đang tìm kiếm thử thách mới để chinh phục trên con đường phát triển sự nghiệp, chỉ cần bạn sẵn sàng - chúng tôi luôn có những lộ trình phù hợp cho bạn. Website Tuyển dụng VUS : https://tuyendung.vus.edu.vn/","Trụ Sở TP.HCM: 189 Nguyễn Thị Minh Khai, Quận 1, TP. HCM | Văn Phòng Hà Nội: Lầu 3, Tòa nhà Golden Palace, Lô C3 Lê Văn Lương, Quận Thanh Xuân, Hà Nội",Trên 300 người
Công Ty TNHH Thực Phẩm Và Nước Giải Khát Nawon,"Nawon F & B 100% vốn Việt Nam với 25 năm kinh nghiệm trong lĩnh vực nước giải khát cho thị trường trong nước và gia công hàng hóa cho các công ty xuất khẩu tại Việt Nam.Công Ty TNHH Thực Phẩm & Nước Giải Khát Nawon có quy mô 150-300 người. Trong quý II năm 2016, chủ đầu tư Nam Việt F&B quyết định mở rộng ra thị trường trên toàn thế giới và nhanh chóng chinh phục lòng tin của khách hàng ngay từ đơn hàng đầu tiên thông qua việc kiểm soát chất lượng, giao hàng nhanh chóng và quan trọng nhất là mục tiêu chính của chúng tôi là phục vụ tài khoản khách hàng sau khi bán và khách hàng sự thỏa mãn. Hiên Tại Nawon có các cơ sở đóng tại các địa chỉ: Số nhà 77, Đường DX87, Phường Hiệp An, Thành phố Thủ Dầu Một, Bình Dương Chi nhánh 1 tại: Số 1479/2B khu phố Đông Thành, Phường Tân Đông Hiệp, Thị Xã Dĩ An, Tỉnh Bình Dương Chi nhánh 2 tại: Thửa đất số 1315,1316, Tờ bản đồ số 39, Khu phố Tân Thắng, Phường Tân Bình, Thị Xã Dĩ An, Tỉnh Bình Dương.","Phòng 04, tầng 08, toà nhà Becamex Tower, số 230 Đại Lộ Bình, Phường Phú Hòa, Thành phố Thủ Dầu Một, Bình Dương",Trên 300 người
Công Ty Cổ Phần BPO Mắt Bão,"Công ty Cổ phần BPO MẮT BÃO - nhà cung cấp dịch vụ: Chăm sóc khách hàng (Call Centrer), xử lý dữ liệu, tư vấn, đào tạo tốt nhất tại Việt Nam. MẮT BÃO BPO được biết đến với dịch vụ chuyên nghiệp, đa dạng cùng nền văn hóa đặc sắc với hơn 2000 nhân sự trên cả nước. Đáp ứng nhu cầu phát triển bền vững, Công ty chúng tôi vinh dự mời quý anh chị tìm hiểu và gia nhập cùng đội ngũ MẮT BÃO BPO. Chúng tôi rất trân trọng sự giới thiệu của quý anh chị đến bạn bè, đồng nghiệp về MẮT BÃO, môi trường làm việc với trang thiết bị hiện đại, thu nhập tương xứng với khả năng.","54 Đường C1, Phường 13, Quận Tân Bình, TP Hồ Chí Minh",Trên 300 người
Công Ty TNHH Poong In Vina,"- Công ty 100% vốn Hàn Quốc chuyên gia công xuất khẩu hàng may mặc với những nhãn hàng nổi tiếng trên thế giới như Ann Taylor, Macy's , Gap , Talbot's , JCP - Năm thành lập : 2006 - Quy mô công ty : 3000 lao động","Khu phố 8, Phường Uyên Hưng, Thị xã Tân Uyên, Tỉnh Bình Dương, Việt Nam",Trên 300 người
Nguồn Hàng Trung Quốc,Nguồn Hàng Trung Quốc,"Số 37, ngõ 45, Trần Thái Tông, Cầu Giấy, Hà Nội",150 - 300 người
